Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Голос,221,1212,2019-06-25,93,"ТОВ ""Радіо FM""","м. Київ, вул. Вікентія Хвойки, буд. 15/15",23980419,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 20 від 24.06.2019,14400,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,92,"ПП ""Радіокомпанія ""Черкаси-вибір""","м. Черкаси, бульв. Шевченка, буд. 195/1",30147008,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 1 від 24.06.2019,6000,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,90,"Дочірнє підприємство ""Телерадіокомпанія ""Класик"" ТОВ ""Радіостанція ""Великий луг""","м. Запоріжжя, вул. Олександра Матросова, буд. 8А, оф. 104",36065717,+; 1212; оплата ефірного часу на радіо згідно з рахунком № СФ-24 від 21.06.2019,"18290,88",юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,83,"ТОВ ""Контакт-інформ""","м. Київ, вул. Володимирська, буд. 61/11, кв. 50",36045376,+; 1212; оплата ефірного часу на радіо згідно з рахунком № КІ23 від 21.06.2019,"5073,84",юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,80,"ТОВ ""Комунікаційне агентство ""Сума технологій""","м. Харків, майдан Захисників України, буд. 7/8, прим. 15",38605231,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 31 від 24.06.2019,6264,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,68,"ТОВ ""Телерадіокомпанія ""Алекс ТВ""","м. Київ, вул. Кирилівська, буд. 23",31036723,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 64 від 21.06.2019,6264,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,63,"ТОВ ""Телерадіокомпанія ""Радіо 50""","м. Харків, просп. Гагаріна, буд. 1",30988520,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 7 від 21.06.2019,4440,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,57,"Дочірнє підприємство ""Радіостанція ""Зоря""","м. Київ, вул. Кирилівська, буд. 104А",25484192,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 24 від 21.06.2019,1480,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,56,"ТОВ ""Фірма ""Волинь""","м. Київ, вул. Пухівська, буд. 1А",19138008,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 30 від 21.06.2019,814,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,54,"ПП ""Телерадіомовна компанія ""Аллюр""","м. Кременчук, вул. Маяковського, буд. 7",30205038,+; 1212; оплата ефірного часу на радіо згідно з рахунком № СФ-0000048 від 24.06.2019,5328,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,51,"ТОВ ""Телерадіокомпанія ""Класик радіо""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",25515834,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 1 від 21.06.2019,5220,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,50,"ТОВ ""Телерадіокомпанія ""Пріоритет""","м. Кременчук, вул. Переяславська, буд. 55А",30244915,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 194 від 21.06.2019,7104,юридична особа,оплата ефірного часу на радіо
Голос,221,1211,2019-06-25,6,"ТОВ ""Міжнародна комерційна телерадіокомпанія"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,+; 1211; оплата ефірного часу на телебаченні згідно з рахунком №196 від 24.06.2019,1017972,юридична особа,оплата ефірного часу на телебаченні
Голос,221,1211,2019-06-25,5,"ТОВ ""Телеканал СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,+; 1211; оплата ефірного часу на телебаченні згідно з рахунком №407 від 21.06.2019 в т.ч. ПДВ (20%) 143604 грн,861624,юридична особа,оплата ефірного часу на телебаченні
Голос,221,1211,2019-06-25,4,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,+; 1211; оплата ефірного часу на телебаченні згідно з рахунком №536 від 21.06.2019 в т.ч. ПДВ (20%) 650700 грн,3904200,юридична особа,оплата ефірного часу на телебаченні
Голос,221,1211,2019-06-25,3,"ТОВ ""Телерадіокомпанія ""Україна""","м. Маріуполь, вул. Харлампіївська, буд. 17/52",05744121,+; 1211; оплата ефірного часу на телебаченні згідно з рахунком №542 від 21.06.2019 в т.ч. ПДВ (20%) 743088 грн,4458528,юридична особа,оплата ефірного часу на телебаченні
Голос,221,1211,2019-06-25,2,"ТОВ ""Новий канал""","м. Київ, вул. Тургенєвська, буд. 25",23530545,+; 1211; оплата ефірного часу на телебаченні згідно з рахунком №170 від 24.06.2019 в т.ч. ПДВ (20%) 136536 грн,819216,юридична особа,оплата ефірного часу на телебаченні
Голос,221,1212,2019-06-25,110,"ТОВ ""Телерадіокомпанія ""Унісон плюс""","м. Чернігів, просп. Перемоги, буд. 114",32016577,"+;1212;Оплата ефірного часу на радіо відповідно до рахунку№СФ-0000026 від 24.06.2019 р. в т.ч. ПДВ 1200,00 грн",7200,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,105,"ТОВ ""Телерадіокомпанія ""Місто ФМ""","м. Запоріжжя, просп. Леніна, буд. 167, оф. 1",34563984,+; 1212; оплата ефірного часу на радіо згідно з рахунком № СФ-0000028 від 24.06.2019,7200,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,102,"ТОВ ""Радіокомпанія ""Ностальжі""","м. Запоріжжя, вул. Сєдова, буд. 12, кв. 6",22134050,+; 1212; оплата ефірного часу на радіо згідно з рахунком № СФ-0000070 від 24.06.2019,7200,юридична особа,оплата ефірного часу на радіо
Голос,221,1212,2019-06-25,100,"ТОВ ""Радіо ""Тон""","м. Тернопіль, вул. Камінна, буд. 5, прим. 13",21155577,+; 1212; оплата ефірного часу на радіо згідно з рахунком № 351 від 24.06.2019,7200,юридична особа,оплата ефірного часу на радіо
