Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Радикальна партія Олега Ляшка,221,1211,2019-06-25,27,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"+;1211;Оплата ефірного часу на телебаченні згідно з рахунком №537 від 21.06.2019 в т.ч.ПДВ20%-588600,00",3531600,юридична особа,оплата ефірного часу на телебаченні
Радикальна партія Олега Ляшка,221,1211,2019-06-25,31,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"+;1211;Оплата ефірного часу на телебаченні згідно з рахунком №410 від 24.06.2019 в т.ч.ПДВ20%-201240,00",1207440,юридична особа,оплата ефірного часу на телебаченні
Радикальна партія Олега Ляшка,221,1211,2019-06-25,32,"ТОВ ""Інтер реклама центр""","м. Київ, вул. Воровського, буд. 22А",30524103,"+;1211;Оплата ефірного часу на телебаченні згідно з рахунком №104 від 21.06.2019 в т.ч.ПДВ20%-372648,00",2235888,юридична особа,оплата ефірного часу на телебаченні
Радикальна партія Олега Ляшка,221,1211,2019-06-25,30,"ТОВ ""Міжнародна комерційна телерадіокомпанія"" (ICTV)","м. Київ, вул. Панківська, буд. 33",14323764,"+;1211;Оплата ефірного часу на телебаченні згідно з рахунком №197 від 24.06.2019 в т.ч.ПДВ20%-191388,00",1148328,юридична особа,оплата ефірного часу на телебаченні
Радикальна партія Олега Ляшка,221,1211,2019-06-25,33,"ТОВ ""Інтер реклама центр""","м. Київ, вул. Воровського, буд. 22А",30524103,"+;1211;Оплата ефірного часу на телебаченні згідно з договором №27 від 21.06.2019,рах.108 від 21.06.2019 у т.ч.ПДВ20%-45342,00",272052,юридична особа,оплата ефірного часу на телебаченні
Радикальна партія Олега Ляшка,221,1211,2019-06-25,34,"ТОВ ""Інтер реклама центр""","м. Київ, вул. Воровського, буд. 22А",30524103,"+;1211;Оплата ефірного часу на телебаченні згідно з рахунком №106 від 21.06.2019 у т.ч.ПДВ 20%-139824,00",838944,юридична особа,оплата ефірного часу на телебаченні
Радикальна партія Олега Ляшка,221,1211,2019-06-25,36,"ТОВ ""Рєал істейт-ТВ""","м. Київ, вул. Кирилівська, буд. 23",35405350,"+;1211;Оплата ефірного часу на телебаченні згідно з рахунком №66 від 21.06.2019 в т.ч.ПДВ20%-39000,00",234000,юридична особа,оплата ефірного часу на телебаченні
Радикальна партія Олега Ляшка,221,1211,2019-06-25,35,"ТОВ ""Гравіс-кіно""","м. Київ, вул. Кирилівська, буд. 23",36257228,"+;1211;Оплата ефірного часу на телебаченні згідно з рахунком №328 від 21.06.2019 в т.ч.ПДВ20%-39000,00",234000,юридична особа,оплата ефірного часу на телебаченні
Радикальна партія Олега Ляшка,221,1212,2019-06-25,7,"ТОВ ""ТРК ""Шансон""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",24085596,"+;1212;Оплата ефірного часу на радіо згідно з рахунком №3 від 24.06.2019 в т.ч.ПДВ20%-4520,00",27120,юридична особа,оплата ефірного часу на радіо
Радикальна партія Олега Ляшка,221,1211,2019-06-25,38,"ТОВ ""Так ТВ+""","м. Київ, вул. Кирилівська, буд. 23",37701196,"+;1211;Оплата ефірного часу на телебаченні згідно з рахунком №38 від 21.06.2019 в т.ч.ПДВ20%-144,00",864,юридична особа,оплата ефірного часу на телебаченні
Радикальна партія Олега Ляшка,221,1211,2019-06-25,39,"ТОВ ""ТРК ""Алекс ТВ""","м. Київ, вул. Кирилівська, буд. 23",31036723,"+;1211;Оплата ефірного часу на телебаченні згідно з рахунком №65 від 21.06.2019 в т.ч.ПДВ20%-144,00",864,юридична особа,оплата ефірного часу на телебаченні
