Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,11,"ТОВ ""ТРК ""S-ТЕТ""","м. Київ, вул. ФРУНЗЕ, буд. 23",31645208,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №40 від 25.06.19, у т.ч. ПДВ 20% = 366,00 грн.,",2196,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,12,"ТОВ ""Телерадіокомпанія ""Алекс ТВ""","м. Київ, вул. ФРУНЗЕ, буд. 23",31036723,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №70 від 25.06.19, у т.ч. ПДВ 20% = 366,00 грн.,",2196,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1140,2019-06-26,13,"ТОВ ""Ред-груп""","м. Київ, вул. САКСАГАНСЬКОГО, буд. 43, оф. 4",37493009,"+;1140;виготовлення інших матеріалів передвиборчої агітації (пакети) згідно з рах. №61 від 18.026.19, у т.ч. ПДВ 20% = 8 400,00 грн.,",50400,юридична особа,виготовлення інших матеріалів передвиборної агітації
ОПОЗИЦІЙНИЙ БЛОК,220,1140,2019-06-26,14,"ТОВ ""Торговий дім ЮСОН""","м. Дніпро, вул. ПЛЕХАНОВА, буд. 9",34562797,"+;1140;виготовлення інших матеріалів передвиборчої агітації (ручки) згідно з рах. №ТД-00000638 від 20.06.19, у т.ч. ПДВ 20% = 8 000,00 грн.,",48000,юридична особа,виготовлення інших матеріалів передвиборної агітації
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,15,"ПП ""ТРК ""ЧЦМЗ""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",14209034,"+;1212;оплата ефірного часу на радіо згідно з рахунком №1/2 від 26.06.19, у т.ч. ПДВ 20% = 97,50 грн.,",585,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,16,"Дочірнє підприємство ""Новий обрій""","м. Київ, вул. Івана Шевцова, буд. 1",37470683,";1212;оплата ефірного часу на радіо згідно з рахунком №34 від 26.06.19, у т.ч. ПДВ 20% = 3 960,00 грн.,",23760,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,17,"ТОВ ""ТРК ""Шансон""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",24085596,"+;1212;оплата ефірного часу на радіо згідно з рахунком №1/2 від 26.06.19, , у т.ч. ПДВ 20% = 780,00 грн.,",4680,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,18,"ПрАТ ""Наше радіо""","м. Київ, вул. Отто Шмідта, буд. 6",23530551,"+;1212;оплата ефірного часу на радіо згідно з рахунком №63 від 26.06.19, у т.ч. ПДВ 20% = 3 330,00 грн.,",19980,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,19,"ПП ""Фірма ""Волинь""","м. Київ, вул. Пухівська, буд. 1А",19138008,"+;1212;оплата ефірного часу на радіо згідно з рахунком №37 від 26.06.19, у т.ч. ПДВ 20% = 101,75 грн.,",610,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,20,"ТОВ ""Телерадіокомпанія ""Контакт""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",24512176,"+;1212;оплата ефірного часу на радіо згідно з рахунком №1/2 від 26.06.19, у т.ч. ПДВ 20% = 292,50 грн.,",1755,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,21,"ДП ""Радіостанція ""Зоря""","м. Київ, вул. Кирилівська, буд. 104А",25484192,"+;1212;оплата ефірного часу на радіо згідно з рахунком №27 від 26.06.19, у т.ч. ПДВ 20% = 185,00 грн.,",1110,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,22,"ТОВ ""Телерадіокомпанія ""НБМ-радіо""","м. Київ, вул. Кирилівська, буд. 104А",34818518,"+;1212;оплата ефірного часу на радіо згідно з рахунком №54 від 26.06.19, у т.ч. ПДВ 20% = 3 330,00 грн.,",19980,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,23,"ТОВ ""Топ-радіо""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",21117217,"+;1212;оплата ефірного часу на радіо згідно з рахунком №1/2 від 24.06.19, , у т.ч. ПДВ 20% = 97,50 грн.,",585,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,24,"ТОВ ""Євромюзік""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",37027503,"+;1212;оплата ефірного часу на радіо згідно з рахунком №1/2 від 26.06.19, у т.ч. ПДВ 20% = 195,00 грн.,",1170,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,25,"ТОВ ""Телерадіомовна компанія ""Радіо ""Хвиля""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",24996257,"+;1212;оплата ефірного часу на радіо згідно з рахунком №1/2 від 26.06.19, у т.ч. ПДВ 20% = 97,50 грн.,",585,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1212,2019-06-26,26,"ТОВ ""Телерадіокомпанія ""Сіверські підприємства""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",14255181,"+;1212;оплата ефірного часу на радіо згідно з рахунком №1/2 від 26.06.19, у т.ч. ПДВ 20% = 97,50 грн.,",585,юридична особа,оплата ефірного часу на радіо
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,27,"ТОВ ""ТРО ""Маріупольське телебачення""","Донецька обл., м. Маріуполь, просп. Нахімова, буд. 116А",22036458,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №216 від 27.06.19, у т.ч. ПДВ 20% = 5 400,00 грн.,",32400,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,28,"ТОВ ""Телерадіокомпанія ""Сімон""","м. Харків, майдан Свободи, буд. 7",21217525,"+;1211;оплата ефірного часу на телебаченні згідно з рах-факт. №Р54/6 від 26.06.19, у т.ч. ПДВ 20% = 4 380,00 грн.,",26280,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,29,"ПАТ ""Телерадіокомпанія ""Право А/ТВК""","м. Харків, вул. Ярослава Мудрого, буд. 3",22722874,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №50 від 26.06.19, у т.ч. ПДВ 20% = 1 200,00 грн.,",7200,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,30,"ПРАТ ""РТМК ""Тоніс-Центр""","м. Харків, вул. Римарська, буд. 23А",14059592,"+;1211;оплата ефірного часу на телебаченні згідно з рах-факт. №300 від 26.06.19, у т.ч. ПДВ 20% = 333,67 грн.,",2002,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,31,"ТОВ ""ТРК ""СТУДІЯ 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №560 від 27.06.19, у т.ч. ПДВ 20% = 126 900,00 грн.,",761400,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,32,"ТОВ ""МКТРК"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №207 від 27.06.19, у т.ч. ПДВ 20% = 42 936,00 грн,",257616,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,33,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №420 від 26.06.19, у т.ч. ПДВ 20% = 37 194,00 грн.,",223164,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,34,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №558 від 26.06.19, у т.ч. ПДВ 20% = 137 736,00 грн.,",826416,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,35,"ТОВ ""Телекомпанія ""ТБ Стимул""","м. Київ, вул. ФРУНЗЕ, буд. 23",30462482,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №41 від 27.06.19, у т.ч. ПДВ 20% = 600,00 грн.,",3600,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,36,"ТОВ ""Так ТВ+""","м. Київ, вул. ФРУНЗЕ, буд. 23",37701196,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №43 від 27.06.19, у т.ч. ПДВ 20% = 600,00 грн.,",3600,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,37,"ТОВ ""Телерадіокомпанія ""Алекс ТВ""","м. Київ, вул. ФРУНЗЕ, буд. 23",31036723,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №71 від 27.06.19, у т.ч. ПДВ 20% = 600,00 грн.,",3600,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,38,"ТОВ ""Компанія ІРТК ""Тор""","м. Київ, вул. ФРУНЗЕ, буд. 23",19384641,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №41 від 27.06.19, у т.ч. ПДВ 20% = 600,00 грн.,",3600,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,39,"ТОВ ""Рєал істейт-ТВ""","м. Київ, вул. ФРУНЗЕ, буд. 23",35405350,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №71 від 27.06.19, у т.ч. ПДВ 20% = 19 620,00 грн.,",117720,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,40,"ТОВ ""Гравіс-кіно""","м. Київ, вул. ФРУНЗЕ, буд. 23",36257228,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №333 від 27.06.19, у т.ч. ПДВ 20% = 19 620,00 грн.,",117720,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,41,"ТОВ ""Телекомпанія ""Приват ТБ Дніпро""","м. Дніпро, вул. Набережна Перемоги, буд. 50",23376587,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №34 від 27.06.19, у т.ч. ПДВ 20% = 600,00 грн.,",3600,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,42,"ТОВ ""ТРК ""S-ТЕТ""","м. Київ, вул. ФРУНЗЕ, буд. 23",31645208,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №41 від 27.06.19, у т.ч. ПДВ 20% = 600,00 грн.,",3600,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1110,2019-06-27,43,"ТОВ ""ФАКТОР-ДРУК""","м. Харків, вул. САРАТОВСЬКА, буд. 51",20030635,"+;1110; виготовлення друкованих матеріалів (інф.бюл.) згідно з рах.-фак. №1905133 від 25.06.19, у т.ч. ПДВ 20% = 12 000,00 грн.,",72000,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
ОПОЗИЦІЙНИЙ БЛОК,220,1350,2019-06-27,44,Порунова Дарʼя Сергіївна,"м. Харків, вул. Валентинівська, буд. 13, кв. 147",,"+;1350;розміщення друк. агіт. мат. чи пол. рекл. на носіях зовнішньої реклами згідно з рах.№ПОр0000024 від 27.06.19, у т.ч. ПДВ 20% = 29 550,67 грн.,",177304,ФОП,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,45,"ПрАТ ""Телевізійна служба Дніпропетровська""","м. Дніпро, вул. Воскресенська, буд. 14, оф. 107",20264089,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №548від 26.06.19, у т.ч. ПДВ 20% = 4 200,00 грн.,",25200,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,46,"ТОВ ""Телерадіокомпанія ""Град""","Одеська обл., м. Чорноморськ, вул. 1 ТРАВНЯ, буд. 3",32790433,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком від 26.06.19, у т.ч. ПДВ 20% = 1 500,00 грн.,",9000,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,47,"ТОВ ""ТРК ""52 канал""","м. Одеса, вул. Артилерійська, буд. 1",31116777,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком від 26.06.19, у т.ч. ПДВ 20% = 900,00 грн.,",5400,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,48,"ПРАТ ""РТМК ""Тоніс-Центр""","м. Харків, вул. Римарська, буд. 23А",14059592,"+;1211;оплата ефірного часу на телебаченні згідно з рах-факт. №299 від 26.06.19, у т.ч. ПДВ 20% = 3 120,00 грн.,",18720,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,49,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,"+;1211;оплата ефірного часу на телебаченні (ТРК Донбас) згідно з рахунком №557 від 26.06.19, у т.ч. ПДВ 20% = 4 200,32 грн.,","25201,92",юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,50,"ТОВ ""Телерадіокомпанія ""Сигма""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",13482897,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №125 від 26.06.19, у т.ч. ПДВ 20% = 4 200,00 грн.,",25200,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,51,"ТОВ ""Медіа-проспект""","м. Житомир, Корольовський р-н, вул. Велика Бердичівська, буд. 72",38500053,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №111 від 26.06.19, у т.ч. ПДВ 20% = 1 080,00 грн.,",6480,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,52,"КП ""ДМСТ""","м. Дніпро, просп. ДМИТРА ЯВОРНИЦЬКОГО, буд. 75",19149153,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №30 від 26.06.19, у т.ч. ПДВ 20% = 1 800,00 грн.,",10800,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,53,"ТОВ ""ТРК МІСЬКИЙ ТЕЛЕКАНАЛ""","м. Одеса, вул. ПАСТЕРА, буд. 60",35357653,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №18 від 26.06.19, у т.ч. ПДВ 20% = 2 352,96 грн.,","14117,76",юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,54,"ПМП ""ТРК ""Даніо""","м. Ужгород, вул. Крилова, буд. 10",20430464,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №36 від 26.06.19, у т.ч. ПДВ 20% = 1 944,00 грн.,",11664,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,55,"ТОВ ""Телекомпанія ""Орбіта""","Донецька обл., м. Покровськ, ПЛОЩА ШИБАНКОВА, буд. 1",22025804,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №ПР000000387 від 26.06.19, у т.ч. ПДВ 20% = 381,60 грн.,","2289,6",юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,56,"ТОВ ""Телерадіокомпанія ""МСТ""","Дніпропетровська обл., м. Марганець, вул. Лермонтова, буд. 19",13430328,"+;1211;оплата ефірного часу на телебаченні згідно з рах-факт. №М-63 від 26.06.19, без ПДВ,",4680,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,57,"ТОВ ""ТРК ""TTV""","м. Кропивницький, вул. Медведєва, буд. 1А",13745760,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №55 від 26.06.19, у т.ч. ПДВ 20% = 1 080,00 грн,",6480,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,58,"ПП ""Телерадіокомпанія ""ВТВ плюс""","м. Херсон, вул. Богородицька, буд. 10/5, кв. 4",24959285,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №97 від 26.06.19, у т.ч. ПДВ 20% = 1 440,00 грн.,",8640,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,59,"ТОВ ""ТРК ""Академія TV""","м. Суми, вул. Харківська, буд. 4",32185841,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №207 від 26.06.19, у т.ч. ПДВ 20% = 1 080,00 грн.,",6480,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,60,"ТОВ ""Телерадіокомпанія ""Алекс ТВ""","м. Запоріжжя, просп. Моторобудівників, буд. 48",23286602,"+;1211;оплата ефірного часу на телебаченні згідно з рах-факт. №СФ-0000194 від 26.06.19, у т.ч. ПДВ 20% = 1 462,50 грн.,",8775,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,61,"ТОВ ""ТРК ""ВІДІКОН""","м. Суми, вул. Харківська, буд. 4",21107661,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №155 від 26.06.19, у т.ч. ПДВ 20% = 2 592,00 грн.,",15552,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,62,"ТОВ ""ТРО ""Ліга""","м. Чернігів, просп. Миру, буд. 32",24834454,"+;1211;оплата ефірного часу на телебаченні згідно з рах-факт. №СФ-0000165 від 26.06.19, у т.ч. ПДВ 20% = 3 600,00 грн.,",21600,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,63,"ТОВ ""ТРК ""Ніс-ТВ""","м. Миколаїв, вул. Чкалова, буд. 30А",20874043,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №117 від 26.06.19, у т.ч. ПДВ 20% = 1 296,00 грн.,",7776,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,64,"КП КМР ""Міська інформаційна служба""","Дніпропетровська обл., м. Камʼянське, просп. Тараса Шевченка, буд. 14",30169697,"+;1211;оплата ефірного часу на телебаченні згідно з р-ф. №КП-0000117 від 26.06.19, у т.ч. ПДВ 20% = 240,00 грн.,",1440,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,65,"КП ""ТРА ""Новий Чернігів"" Чернігівської міської ради","м. Чернігів, просп. Миру, буд. 38А",21397527,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №102 від 26.06.19, у т.ч. ПДВ 20% = 3 360,00 грн.,",20160,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,66,"ТОВ ""ІТ ""РЕПОРТЕР""","м. Одеса, вул. Зоопаркова, буд. 25",22448563,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №99 від 26.06.19, у т.ч. ПДВ 20% = 1 440,00 грн.,",8640,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,67,"КП ""Павлоградська телерадіокомпанія"" Павлоградської міської ради","Дніпропетровська обл., м. Павлоград, вул. Соборна, буд. 95",20255831,"+;1211;оплата ефірного часу на телебаченні згідно з р-ф. №56 від 26.06.19, у т.ч. ПДВ 20% = 1 500,00 грн.,",9000,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,68,"ТОВ ""ТРК ""ІРТ-Полтава""","м. Полтава, вул. Конституції, буд. 4",35026331,"+;1211;оплата ефірного часу на телебаченні згідно з р-ф. №ІР-2865/1 від 26.06.19, у т.ч. ПДВ 20% = 720,00 грн.,",4320,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,69,"ТОВ ""Самарь медіа""","Дніпропетровська обл., м. Новомосковськ, вул. СУЧКОВА, буд. 36",40452161,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №50 від 26.06.19, у т.ч. ПДВ 20% = 840,00 грн.,",5040,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,70,"ТОВ ""Телерадіокомпанія ""Сімон""","м. Харків, майдан Свободи, буд. 7",21217525,"+;1211;оплата ефірного часу на телебаченні згідно з рах-факт. №229 від 26.06.19, у т.ч. ПДВ 20% = 7 600,00 грн.,",45600,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,71,"ТОВ ""ТРК ""САТ-плюс""","Донецька обл., м. Словʼянськ, вул. Свободи, буд. 5",31477505,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №27 від 26.06.19, у т.ч. ПДВ 20% = 1 440,00 грн.,",8640,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,72,"ТОВ ""Коледж преси та телебачення""","м. Миколаїв, вул. Даля, буд. 11А",20914191,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №1-ОБ від 27.06.19, без ПДВ,","11995,2",юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,73,"ТОВ ""ЗНТРК ""ТВ-5""","м. Запоріжжя, вул. Південне шосе, буд. 72",13630346,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №0236 від 26.06.19, у т.ч. ПДВ 20% = 11 400,00 грн.,",68400,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-27,74,"ТОВ ""ТРО ""Маріупольське телебачення""","Донецька обл., м. Маріуполь, просп. Нахімова, буд. 116А",22036458,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №215 від 27.06.19, у т.ч. ПДВ 20% = 2 880,00 грн.,",17280,юридична особа,оплата ефірного часу на телебаченні
