Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,1,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №552 від 26.06.19, у т.ч. ПДВ 20% = 732 750,00 грн.,",4396500,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,2,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №416 від 25.06.19, у т.ч. ПДВ 20% = 230 424,00 грн.,",1382544,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,3,"ТОВ ""МКТРК"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №203 від 26.06.19, у т.ч. ПДВ 20% = 233 484,00 грн.,",1400904,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,4,"ТОВ ""ТРК ""СТУДІЯ 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №558 від 25.06.19, у т.ч. ПДВ 20% = 526 500,00 грн.,",3159000,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,5,"ТОВ ""Гравіс-кіно""","м. Київ, вул. ФРУНЗЕ, буд. 23",36257228,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №332 від 25.06.19, у т.ч. ПДВ 20% = 83 280,00 грн.,",499680,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,6,"ТОВ ""Рєал істейт-ТВ""","м. Київ, вул. ФРУНЗЕ, буд. 23",35405350,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №70 від 25.06.19, у т.ч. ПДВ 20% = 83 280,00 грн.,",499680,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,7,"ТОВ ""Так ТВ+""","м. Київ, вул. ФРУНЗЕ, буд. 23",37701196,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №42 від 25.06.19, у т.ч. ПДВ 20% = 366,00 грн.,",2196,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,8,"ТОВ ""Телекомпанія ""Приват ТБ Дніпро""","м. Дніпро, вул. Набережна Перемоги, буд. 50",23376587,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №33 від 25.06.19, у т.ч. ПДВ 20% = 366,00 грн.,",2196,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,9,"ТОВ ""Телекомпанія ""ТБ Стимул""","м. Київ, вул. ФРУНЗЕ, буд. 23",30462482,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №40 від 25.06.19, у т.ч. ПДВ 20% = 366,00 грн.,",2196,юридична особа,оплата ефірного часу на телебаченні
ОПОЗИЦІЙНИЙ БЛОК,220,1211,2019-06-26,10,"ТОВ ""Компанія ІРТК ""Тор""","м. Київ, вул. ФРУНЗЕ, буд. 23",19384641,"+;1211;оплата ефірного часу на телебаченні згідно з рахунком №40 від 25.06.19, у т.ч. ПДВ 20% = 366,00 грн.,",2196,юридична особа,оплата ефірного часу на телебаченні
